areaCode_x,areaName,cumCasesByPublishDate,cumDeaths28DaysByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedThirdInjectionByPublishDate,Median age,People per sq. km,Asian%,"Black, African, Caribbean%",Mixed%,White%,Other%,Region code_x,% of key workers,% of the economically active population aged 16+ who are unemployed,% of all people aged 16-64 who are employees,% of all people aged 16-64 who are self-employed,Region name,% of households with at least 1 early-years or school age child,Average Deprivation Score 
E08000006,Salford,89418,740,188343,173471,119727,34.8,"2,663",4,2.8,2,90.1,1.1,E12000002,30.2,4.4,67.2,7.1,North West,21,34.2
E08000019,Sheffield,170848,1489,428179,401133,308356,35.4,"1,590",8,3.6,2.4,83.7,2.2,E12000003,32.2,4.1,66.1,7.4,Yorkshire and The Humber,22.6,27.1
E08000027,Dudley,100170,964,242128,228446,177804,42,"3,283",6.1,1.5,1.8,90,0.6,E12000005,31.6,4.7,64.1,8.3,West Midlands,23.7,24.1
E08000029,Solihull,66455,656,167888,158894,128409,43.1,"1,214",6.6,1.6,2.1,89.1,0.6,E12000005,30.8,3.6,67.5,8,West Midlands,22.6,17.4
E08000033,Calderdale,61716,448,158428,149176,115596,42.2,581,8.3,0.4,1.4,89.7,0.2,E12000003,35.5,3.7,59.7,10.5,Yorkshire and The Humber,22.4,26.4
E09000022,Lambeth,103173,610,241350,224536,164572,33.3,"12,156",6.9,25.9,7.6,57.1,2.4,E12000007,22.6,4.8,64.4,10.8,London,19.8,25.4
E06000019,"Herefordshire, County of",45421,350,154466,147255,123481,47.4,88,0.8,0.2,0.7,98.2,0.1,E12000005,36.2,2.2,61.4,16.9,West Midlands,17.5,18.9
E06000049,Cheshire East,114633,1043,321392,306379,256316,46.4,329,1.6,0.4,1,96.7,0.2,E12000002,33.3,2.8,67.2,9.3,North West,21.2,14.5
E06000056,Central Bedfordshire,87266,730,227079,216159,172432,41.1,403,2.5,1.4,1.9,93.8,0.3,E12000006,33.4,2.3,72.9,8.7,East  ,23,12.2
E08000018,Rotherham,85189,983,205469,194985,153738,41.9,926,4.1,0.8,1,93.6,0.5,E12000003,33.9,5.1,62.4,10.1,Yorkshire and The Humber,22.9,29.6
E08000034,Kirklees,127649,1081,323159,303665,224051,39.7,"1,076",16,1.9,2.3,79.1,0.6,E12000003,29.2,4.1,63.1,9.8,Yorkshire and The Humber,25,25.2
E09000029,Sutton,66440,522,155185,146036,111600,39.5,"4,706",11.6,4.8,3.8,78.6,1.3,E12000007,29,4.1,61.8,15.6,London,31.3,14
E06000008,Blackburn with Darwen,53304,528,109369,100370,63817,36.5,"1,092",28.1,0.6,1.2,69.2,0.8,E12000002,35.5,4.8,59.7,8.2,North West,24.6,36
E06000039,Slough,48738,359,107415,98273,65044,35,"4,595",39.7,8.6,3.4,45.7,2.6,E12000008,35.8,4.5,63.5,10,South East,36,23
E08000014,Sefton,89410,989,213466,202062,160314,46.5,"1,765",1,0.3,1,97.4,0.3,E12000002,34.7,3,66.9,8.8,North West,17.6,27
E08000024,Sunderland,90237,1012,218100,205653,160333,42.2,"2,021",2.7,0.5,0.6,95.9,0.3,E12000001,33.6,7,64.2,7.6,North East,19.7,30.6
E08000025,Birmingham,323478,3385,749383,681657,448915,32.6,"4,264",26.6,9,4.4,57.9,2,E12000005,36,7.8,56.7,9.3,West Midlands,26.8,38.1
E08000026,Coventry,102861,751,256694,235516,171662,32.1,"3,766",16.3,5.6,2.6,73.8,1.7,E12000005,29.7,4.3,63.7,7.7,West Midlands,23.3,25.6
E08000028,Sandwell,103996,1229,232022,213793,145053,36.7,"3,839",19.2,6,3.3,69.9,1.6,E12000005,31,5.3,64.1,6.1,West Midlands,24.1,34.9
E08000036,Wakefield,107787,1004,270602,255332,199342,41.6,"1,029",2.6,0.8,0.9,95.4,0.3,E12000003,33.2,4.4,67.2,7.7,Yorkshire and The Humber,22.2,27.3
